time,gyro_roll,inter_time,inter_gyro_roll
0,180.13,0,1.54E+02
0.02,56.17,0.01,1.40E+02
0.12,-130.05,0.02,1.27E+02
0.22,-28.31,0.03,1.16E+02
0.26,-28.31,0.04,1.07E+02
0.32,129.04,0.05,98.94019204
0.42,265.76,0.06,92.71674074
0.43,265.76,0.07,88.20094376
0.43,265.76,0.08,85.44972291
0.52,138.93,0.09,84.52
0.58,138.93,0.1,84.52
0.62,-24.46,0.11,83.10710562
0.72,-105.27,0.12,79.3205487
0.82,-51.56,0.13,73.83851852
0.9,-51.56,0.14,67.33920439
0.92,22.54,0.15,60.50079561
1.02,115.86,0.16,54.00148148
1.12,78.2,0.17,48.5194513
1.22,-17.81,0.18,44.73289438
1.22,-17.81,0.19,43.32
1.32,-168.08,0.2,43.32
1.42,-65.29,0.21,43.32
1.43,-65.29,0.22,43.32
1.43,-65.29,0.23,43.32
1.52,254.04,0.24,43.32
1.54,254.04,0.25,43.32
1.62,326.37,0.26,43.32
1.72,-41.37,0.27,43.32
1.82,-221.91,0.28,17.37393754
1.86,-221.91,0.29,-21.19
1.92,-3.53,0.3,-46.89635763
2.02,208.27,0.31,-73.04896021
2.12,253.31,0.32,-98.90535274
2.18,253.31,0.33,-1.24E+02
2.22,144,0.34,-1.47E+02
2.32,590.96,0.35,-1.67E+02
2.42,1463.64,0.36,-1.85E+02
2.43,1463.64,0.37,-1.98E+02
2.43,1463.64,0.38,-2.06E+02
2.5,1463.64,0.39,-2.09E+02
2.52,1376.24,0.4,-2.09E+02
2.62,1288.59,0.41,-2.09E+02
2.72,976.76,0.42,-2.09E+02
2.82,1022.6,0.43,-2.09E+02
2.82,1022.6,0.44,-2.08E+02
2.92,967.18,0.45,-2.07E+02
3.02,839.06,0.46,-2.06E+02
3.12,804.58,0.47,-2.04E+02
3.14,804.58,0.48,-2.02E+02
3.22,691.48,0.49,-2.00E+02
3.32,363.6,0.5,-1.98E+02
3.42,79.91,0.51,-1.94E+02
3.43,79.91,0.52,-1.90E+02
3.43,79.91,0.53,-1.84E+02
3.46,79.91,0.54,-1.79E+02
3.52,63.19,0.55,-1.73E+02
3.62,104.69,0.56,-1.68E+02
3.72,62.7,0.57,-1.63E+02
3.78,62.7,0.58,-1.58E+02
3.82,29.43,0.59,-1.54E+02
3.92,-35.94,0.6,-1.50E+02
4.02,-88.43,0.61,-1.46E+02
4.1,-88.43,0.62,-1.42E+02
4.12,-132.8,0.63,-1.38E+02
4.22,-111.19,0.64,-1.34E+02
4.32,-91.54,0.65,-1.31E+02
4.42,-147.81,0.66,-1.28E+02
4.42,-147.81,0.67,-1.26E+02
4.43,-147.81,0.68,-1.25E+02
4.43,-147.81,0.69,-1.24E+02
4.52,-142.08,0.7,-1.24E+02
4.62,-137.25,0.71,-1.24E+02
4.72,-138.96,0.72,-1.24E+02
4.74,-138.96,0.73,-1.24E+02
4.82,-177.96,0.74,-1.24E+02
4.92,-203.78,0.75,-1.21E+02
5.02,-231.25,0.76,-1.12E+02
5.06,-231.25,0.77,-1.03E+02
5.12,-246.57,0.78,-94.56056
5.22,-262.5,0.79,-91.14
5.32,-282.7,0.8,-91.8218
5.38,-282.7,0.81,-93.6724
5.42,-295.82,0.82,-96.3996
5.43,-295.82,0.83,-99.7112
5.43,-295.82,0.84,-1.03E+02
5.52,-296.68,0.85,-1.07E+02
5.62,-287.83,0.86,-1.10E+02
5.7,-287.83,0.87,-1.13E+02
5.72,-281.48,0.88,-1.15E+02
5.82,-269.52,0.89,-1.15E+02
5.92,-243.64,0.9,-1.13E+02
6.02,-205.06,0.91,-1.05E+02
